lhs,n_assign,n_rhs
fig,97,66
project_data,90,36
title,25,25
analysis_results,67,24
result,57,23
pdf_bytes,29,22
val,25,22
s,45,20
text,29,19
chart_data,20,19
company_info,56,19
p,52,18
out,54,18
base,47,18
df,37,18
success,48,17
data,30,15
v,21,15
aval,15,15
r,40,14
annual_savings,15,14
years,24,14
pid,16,13
cols,29,13
anlage_kwp,12,11
progress_bar,21,10
results,31,10
value,20,10
content,24,10
img,16,10
