lhs,n_assign,n_rhs
fig,97,66
project_data,90,27
title,25,25
analysis_results,67,24
result,57,23
pdf_bytes,29,22
val,25,22
s,45,20
company_info,56,19
chart_data,20,19
text,27,19
base,41,18
p,43,18
df,35,18
out,49,18
success,48,17
aval,15,15
data,30,15
v,21,15
annual_savings,15,14
years,24,14
cols,29,13
pid,16,13
r,28,13
anlage_kwp,12,11
content,24,10
img,16,10
value,20,10
progress_bar,21,10
results,31,10
