hash,count,names,files
15932a124cff73d2d94ee5e3320187b5,5,"['fmt_number', 'fmt_number', 'fmt_number', 'fmt_number', 'fmt_number']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\pdf_template_engine\\placeholders.py', '.\\tools\\out_selected\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\tools\\portings\\patches\\pdf_template_engine\\placeholders.py.insert.py']"
15cad397fe28418d918f5dc8bfdf030a,3,"['apply_discounts_and_surcharges', 'apply_discounts_and_surcharges', 'apply_discounts_and_surcharges']","['.\\heatpump_pricing.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\heatpump_pricing.py.insert.py', '.\\tools\\out_selected\\patches\\heatpump_pricing.py.insert.py']"
16f01bef4a7877683992dea4356c460e,3,"['run_all_tests', 'run_all_tests', 'run_all_tests']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_hp_functions.py.insert.py', '.\\tests\\test_hp_functions.py', '.\\tools\\portings\\patches\\test_hp_functions.py.insert.py']"
1800672450cd78dbafef802d91184024,3,"['fk', 'fk', 'fk']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
1b8464299f7b1f42e2db2ae90a662d26,5,"['merge_first_seven_pages', 'merge_first_seven_pages', 'merge_first_seven_pages', 'merge_first_seven_pages', 'merge_first_seven_pages']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\pdf_template_engine\\merger.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_template_engine\\merger.py.insert.py', '.\\pdf_template_engine\\merger.py', '.\\tools\\out_selected\\patches\\pdf_template_engine\\merger.py.insert.py', '.\\tools\\portings\\patches\\pdf_template_engine\\merger.py.insert.py']"
1bcad5fea1f4c88f9942ccef4b51bea8,3,"['create_progress_bar', 'create_progress_bar', 'create_progress_bar']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
1d2a7f551abc9267aff036525f7cb844,3,"['__init__', '__init__', '__init__']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
1db19dee78ee8c8887d3ccc8f7664bd8,3,"['yaml_positions_check', 'yaml_positions_check', 'yaml_positions_check']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
1dfb529709aabb25382b51e0494bf539,2,"['render_offer_configuration', 'render_offer_configuration']","['.\\multi_offer_generator_old.py', '.\\multi_offer_generator_old.py']"
1e2126098b8c35b198094fff01483172,3,"['visit', 'visit', 'visit']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
1e31918e76a2afa30d8ccd06ee8b3827,3,"['create_progress_bar', 'create_progress_bar', 'create_progress_bar']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
1e86c54c7323777a0ef3f8ac6a4e02b5,3,"['list_yaml', 'list_yaml', 'list_yaml']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
20f946883f0aa8e2279e149da2be91e0,2,"['file_record', 'file_record']","['.\\notwendig oder nicht\\wichtig\\repo_to_json.py', '.\\tools\\repo_to_json.py']"
21314233a836bebaccdab9d9b16df20e,2,"['_anchor_after_class_body', '_anchor_after_class_body']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
217d7a1447876616cea1db6c0161dace,3,"['set_style', 'set_style', 'set_style']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
21de93005168341df37775264674363c,3,"['test_pdf_with_logos', 'test_pdf_with_logos', 'test_pdf_with_logos']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_pdf_logos.py.insert.py', '.\\tests\\test_pdf_logos.py', '.\\tools\\portings\\patches\\test_pdf_logos.py.insert.py']"
23d18c412deadd34f38dbb43110639b2,2,"['build_project_data', 'build_project_data']","['.\\calculations.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
2498a1d5553f9ae84313cea2bb1ae873,3,"['set_progress_style', 'set_progress_style', 'set_progress_style']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
