hash,count,names,files
25a87f0a63e9d663ce0feb39b7e2f508,2,"['get_available_companies', 'get_available_companies']","['.\\multi_offer_generator.py', '.\\multi_offer_generator_new.py']"
261ddd67901bff0dde74b3d7e4d5a647,3,"['calculate_base_price', 'calculate_base_price', 'calculate_base_price']","['.\\heatpump_pricing.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\heatpump_pricing.py.insert.py', '.\\tools\\out_selected\\patches\\heatpump_pricing.py.insert.py']"
26fba7883d48241ef0d5f66b01cfdbb7,3,"['set_colors', 'set_colors', 'set_colors']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
27856932eeb589ccee7cfe3fe0b6b030,3,"['decorator', 'decorator', 'decorator']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
28878804a9e87a89f51aa46ecf682b8a,3,"['do_structure', 'do_structure', 'do_structure']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
2992ed0a7ee636d7e8b08460c4cd78f1,2,"['generate_records', 'generate_records']","['.\\notwendig oder nicht\\wichtig\\repo_to_json.py', '.\\tools\\repo_to_json.py']"
2a4da89300310c9264392837a9e9eb0e,5,"['render_logo_management_section', 'render_logo_management_section', 'render_logo_management_section', 'render_logo_management_section', 'render_logo_management_section']","['.\\admin_logo_management_ui.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\admin_logo_management_ui.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\admin_logo_management_ui.py.insert.py', '.\\tools\\out_selected\\patches\\admin_logo_management_ui.py.insert.py', '.\\tools\\portings\\patches\\admin_logo_management_ui.py.insert.py']"
2b4aee0c69f7b887dd29a175fca4facb,2,"['write_text', 'write_text']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
2bd029991b6acb4ee6c89d57fc01783e,2,"['node_signature', 'node_signature']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
2c34f42910ff3966f8068e60455c2953,3,"['node_signature', 'node_signature', 'node_signature']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
2db4ddc1c3f15569276dd6cf760b297f,3,"['with_progress', 'with_progress', 'with_progress']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
2e44c9112c07869c6add4372c28271f0,2,"['relpath', 'relpath']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
2e70410507a5b6827853c0e624585ec7,3,"['scan_python', 'scan_python', 'scan_python']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
30caedb1ce23e6bb34b9ee9d7fb1fd1f,3,"['_get_shadcn_animated_css', '_get_shadcn_animated_css', '_get_shadcn_animated_css']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
314536d20d2c20d12b8f69b7894cc8d3,2,"['main', 'main']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
325d2ef4dd3090625f7b78624dbf1990,2,"['render_customer_input', 'render_customer_input']","['.\\multi_offer_generator_old.py', '.\\multi_offer_generator_old.py']"
3a16df9320aeb06769e510447419f0c4,3,"['run_test', 'run_test', 'run_test']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_wirtschaftlichkeit.py.insert.py', '.\\tests\\test_wirtschaftlichkeit.py', '.\\tools\\portings\\patches\\test_wirtschaftlichkeit.py.insert.py']"
3ac8c02712275210f792568a53b248b5,3,"['test_imports', 'test_imports', 'test_imports']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_hp_functions.py.insert.py', '.\\tests\\test_hp_functions.py', '.\\tools\\portings\\patches\\test_hp_functions.py.insert.py']"
3b9f14a46c584579004e099d0c68c7f1,2,"['get_module_docstring_node', 'get_module_docstring_node']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
3d0a4632c68e25bcd7f68b0f78cb4752,3,"['node_shape', 'node_shape', 'node_shape']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
3d29ebe2b855f505d411d02831fc3240,3,"['create_test_image_base64', 'create_test_image_base64', 'create_test_image_base64']","['.\\add_test_product_images.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\add_test_product_images.py.insert.py', '.\\tools\\portings\\patches\\add_test_product_images.py.insert.py']"
3df9f957bcc577b4bae4ecf9d1cfcd1a,2,"['write_streaming_json', 'write_streaming_json']","['.\\notwendig oder nicht\\wichtig\\repo_to_json.py', '.\\tools\\repo_to_json.py']"
3ef2baf4fa19e838391f01f0cbf6f1e4,3,"['simulate_admin_panel_workflow', 'simulate_admin_panel_workflow', 'simulate_admin_panel_workflow']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_admin_workflow.py.insert.py', '.\\tests\\test_admin_workflow.py', '.\\tools\\portings\\patches\\test_admin_workflow.py.insert.py']"
408d53a7a8ae6f4e4748afa9970b417b,2,"['get_active_company', 'get_active_company']","['.\\tests\\test_main_pdf.py', '.\\tools\\test_main_pdf.py']"
41345039c10f1b3c9b82ad39348105bd,3,"['test_admin_panel_import', 'test_admin_panel_import', 'test_admin_panel_import']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_admin_fix.py.insert.py', '.\\tests\\test_admin_fix.py', '.\\tools\\portings\\patches\\test_admin_fix.py.insert.py']"
43f9d986b8fac618fcb5aa6e36691226,2,"['try_decode_text', 'try_decode_text']","['.\\notwendig oder nicht\\wichtig\\repo_to_json.py', '.\\tools\\repo_to_json.py']"
473d9b9f9e769db47ff659be6899c17a,3,"['create_png_test_image', 'create_png_test_image', 'create_png_test_image']","['.\\create_png_test_images.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\create_png_test_images.py.insert.py', '.\\tools\\portings\\patches\\create_png_test_images.py.insert.py']"
4b41cd12a9fe3c2f8d5dfd940fdc8c49,3,"['test_logo_system', 'test_logo_system', 'test_logo_system']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_brand_logos.py.insert.py', '.\\tests\\test_brand_logos.py', '.\\tools\\portings\\patches\\test_brand_logos.py.insert.py']"
4c392ddad2248febee51b6cba3212129,5,"['list_all_brand_logos', 'list_all_brand_logos', 'list_all_brand_logos', 'list_all_brand_logos', 'list_all_brand_logos']","['.\\brand_logo_db.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\brand_logo_db.py.insert.py', '.\\tools\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\tools\\portings\\patches\\brand_logo_db.py.insert.py']"
4e52c73e1f69d50c8427eb8150fee640,3,"['get_product_by_id_func', 'get_product_by_id_func', 'get_product_by_id_func']","['.\\pdf_erstellen_komplett.py', '.\\tests\\test_main_pdf.py', '.\\tools\\test_main_pdf.py']"
4fc6a619a0ac2afbc1df21c09283c6da,2,"['_create_zip_download', '_create_zip_download']","['.\\multi_offer_generator.py', '.\\multi_offer_generator_new.py']"
501e7ae43958a7afcbf55424efa41dae,5,"['add_brand_logo', 'add_brand_logo', 'add_brand_logo', 'add_brand_logo', 'add_brand_logo']","['.\\brand_logo_db.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\brand_logo_db.py.insert.py', '.\\tools\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\tools\\portings\\patches\\brand_logo_db.py.insert.py']"
511276acca977475e13d95f99a8e7c21,3,"['test_logo_debug', 'test_logo_debug', 'test_logo_debug']","['.\\debug_logo_rendering.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\debug_logo_rendering.py.insert.py', '.\\tools\\portings\\patches\\debug_logo_rendering.py.insert.py']"
52027939d66d41f974fff05b4eee8c3e,2,"['cmd_dump', 'cmd_dump']","['.\\notwendig oder nicht\\wichtig\\repo_to_json.py', '.\\tools\\repo_to_json.py']"
529ec9fa1f465cabdab49f06a22f8602,3,"['visit_FunctionDef', 'visit_FunctionDef', 'visit_FunctionDef']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
56fb904dfea1b71f388120667e2b5324,3,"['_initialize_session_state', '_initialize_session_state', '_initialize_session_state']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
580a547a22ba591b5aa1c33177e42904,5,"['update_logo_position', 'update_logo_position', 'update_logo_position', 'update_logo_position', 'update_logo_position']","['.\\brand_logo_db.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\brand_logo_db.py.insert.py', '.\\tools\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\tools\\portings\\patches\\brand_logo_db.py.insert.py']"
58561d11f9b2310e4c77225a13a9ae5d,3,"['update_products_with_png', 'update_products_with_png', 'update_products_with_png']","['.\\create_png_test_images.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\create_png_test_images.py.insert.py', '.\\tools\\portings\\patches\\create_png_test_images.py.insert.py']"
5990fa3ee0bbed8134ef00da443ff77b,3,"['test_logo_data_preparation', 'test_logo_data_preparation', 'test_logo_data_preparation']","['.\\simple_logo_test.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\simple_logo_test.py.insert.py', '.\\tools\\portings\\patches\\simple_logo_test.py.insert.py']"
5c80e48d205fa2d9e0e11a897fe3eee4,3,"['__init__', '__init__', '__init__']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
5fdb9cefb6065ec646ab3946bbc31347,5,"['render_logo_positions_tab', 'render_logo_positions_tab', 'render_logo_positions_tab', 'render_logo_positions_tab', 'render_logo_positions_tab']","['.\\admin_logo_management_ui.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\admin_logo_management_ui.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\admin_logo_management_ui.py.insert.py', '.\\tools\\out_selected\\patches\\admin_logo_management_ui.py.insert.py', '.\\tools\\portings\\patches\\admin_logo_management_ui.py.insert.py']"
